movie_id,movie_year,trivia,mpaa,release_date,runtime,budget,html
tt0100758,1990,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,,March 30,1 hr 33 min,13500000,https://www.boxofficemojo.com/title/tt0100758/credits/
tt0100802,1990,"When a man goes for virtual vacation memories of the planet Mars, an unexpected and harrowing series of events forces him to go to the planet for real",,June 1,1 hr 53 min,65000000,https://www.boxofficemojo.com/title/tt0100802/credits/
tt0101272,1991,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,,November 22,1 hr 39 min,30000000,https://www.boxofficemojo.com/title/tt0101272/credits/
tt0101356,1991,A mental out-patient is misidentified for a missing wealthy man and is forced to take advantage of the situation.,R,July 26,1 hr 38 min,17000000,https://www.boxofficemojo.com/title/tt0101356/credits/
tt0101414,1991,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,,November 15,1 hr 24 min,25000000,https://www.boxofficemojo.com/title/tt0101414/credits/
tt0101453,1991,"In the year 1935, a teen named Billy Bathgate finds first love while becoming the protégé of fledgling gangster Dutch Schultz.",R,November 1,1 hr 46 min,48000000,https://www.boxofficemojo.com/title/tt0101453/credits/
tt0101507,1991,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",R,July 12,1 hr 52 min,6500000,https://www.boxofficemojo.com/title/tt0101507/credits/
tt0101587,1991,"On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.",,June 7,1 hr 53 min,27000000,https://www.boxofficemojo.com/title/tt0101587/credits/
tt0101588,1991,"An intersecting tale with a multitude of characters living lives which, in one way or another, revolve around an old apartment block scheduled to be demolished.",R,October 11,2 hr 9 min,3000000,https://www.boxofficemojo.com/title/tt0101588/credits/
tt0101615,1991,A rap-oriented remake of,,October 18,1 hr 31 min,6000000,https://www.boxofficemojo.com/title/tt0101615/credits/
tt0101701,1991,A soap opera writer gets hit on the head and wakes up as a character in his own show.,,August 9,1 hr 36 min,18000000,https://www.boxofficemojo.com/title/tt0101701/credits/
tt0101786,1991,"To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from a prep school, only to learn that her son isn't the nicest kid.",,July 19,1 hr 47 min,17000000,https://www.boxofficemojo.com/title/tt0101786/credits/
tt0101831,1991,"A terrorist hunter is hired by a scientist to deactivate her android double, a walking, talking, murderous nuclear bomb which has gone amok in the big city and is about to explode.",R,January 18,1 hr 39 min,13000000,https://www.boxofficemojo.com/title/tt0101831/credits/
tt0101902,1991,"U.S. entertainer Eddie Sparks wants to bring some fun to the soldiers during World War II and contacts singer/dancer Dixie Leonard for help. They become the perfect team and tour from North Africa to the Pacific to perform for ""the boys."" They continue their work after the war, but when Eddie fires author Silver for getting involved in McCarthy's campaign, Dixie also turns away from him.",R,November 22,2 hr 18 min,40000000,https://www.boxofficemojo.com/title/tt0101902/credits/
tt0101917,1991,"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",R,September 13,1 hr 29 min,11000000,https://www.boxofficemojo.com/title/tt0101917/credits/
tt0102005,1991,"Forced by the imminent foreclosure of their friend's bar, two lifelong buddies will decide to rob a bank's armoured car, not knowing that its cargo is not money but a new street drug.",R,August 23,1 hr 38 min,23000000,https://www.boxofficemojo.com/title/tt0102005/credits/
tt0102032,1992,"An uptight, stay-at-home children's novelist has delusions indicating that something will happen to him at eight o'clock.",PG,December 4,1 hr 33 min,300000,https://www.boxofficemojo.com/title/tt0102032/credits/
tt0102057,1991,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.",,December 11,2 hr 22 min,70000000,https://www.boxofficemojo.com/title/tt0102057/credits/
tt0102059,1991,A parody of,,July 31,1 hr 24 min,26000000,https://www.boxofficemojo.com/title/tt0102059/credits/
tt0102065,1991,"When Kid's college money is stolen by a crooked music promoter, Play's solution is to stage the 'mutha' of all pajama parties. Starring Kid 'n Play and Martin Lawrence.",R,October 25,1 hr 34 min,5000000,https://www.boxofficemojo.com/title/tt0102065/credits/
tt0102070,1991,A cat burglar is forced to steal Da Vinci works of art for a world domination plot.,R,May 24,1 hr 40 min,65000000,https://www.boxofficemojo.com/title/tt0102070/credits/
tt0102175,1991,Friends and family of a married black architect react in different ways to his affair with an Italian secretary.,R,June 7,2 hr 12 min,14000000,https://www.boxofficemojo.com/title/tt0102175/credits/
tt0102303,1991,"A filthy rich businessman bets a corporate rival that he can live on the streets of L.A. without the comforts of home or money, which proves to be tougher than he thought.",,July 26,1 hr 32 min,13000000,https://www.boxofficemojo.com/title/tt0102303/credits/
tt0102307,1992,A drug dealer reconsiders his profession when his boss plans to go straight and an old flame reappears.,R,August 21,1 hr 43 min,5000000,https://www.boxofficemojo.com/title/tt0102307/credits/
tt0102370,1991,Documentary following singer Madonna on her controversial Blond Ambition tour in 1990.,R,May 10,2 hr,4500000,https://www.boxofficemojo.com/title/tt0102370/credits/
tt0102395,1991,A young department store intern falls in love with a female store mannequin who is really a peasant girl fallen under a thousand year spell. She comes to life whenever he removes the cursed necklace from her.,,May 17,1 hr 35 min,13000000,https://www.boxofficemojo.com/title/tt0102395/credits/
tt0102411,1991,A millionaire playboy goes into Las Vegas and comes out married to a woman he barely knows.,R,April 5,1 hr 55 min,26000000,https://www.boxofficemojo.com/title/tt0102411/credits/
tt0102492,1991,"A young girl, on the threshold of her teen years, finds her life turning upside down, when she is accompanied by an unlikely friend.",PG,November 27,1 hr 42 min,17000000,https://www.boxofficemojo.com/title/tt0102492/credits/
tt0102510,1991,Lieutenant Frank Drebin discovers that his ex-girlfriend's new beau is involved in a plot to kidnap a scientist who advocates solar energy.,,June 28,1 hr 25 min,23000000,https://www.boxofficemojo.com/title/tt0102510/credits/
tt0102526,1991,A crime lord ascends to power and becomes megalomaniacal while a maverick police detective vows to stop him.,R,March 8,1 hr 37 min,8000000,https://www.boxofficemojo.com/title/tt0102526/credits/
tt0102558,1991,A businessman and his friends are captured by a sadistic judge and his equally odd family in the backwoods of a bizarre mansion.,,February 15,1 hr 34 min,40000000,https://www.boxofficemojo.com/title/tt0102558/credits/
tt0102614,1991,The gruesome murder of a Brooklyn Detective will turn the case into a personal vendetta when the deceased's best friend and fellow officer will unleash an all-out attack against a psychotic Mafia enforcer's brutal gang.,R,April 12,1 hr 31 min,14000000,https://www.boxofficemojo.com/title/tt0102614/credits/
tt0102753,1991,A young woman who exudes sexuality battles temptation.,R,September 20,1 hr 52 min,7500000,https://www.boxofficemojo.com/title/tt0102753/credits/
tt0102782,1991,In this sequel to,,August 2,1 hr 42 min,11000000,https://www.boxofficemojo.com/title/tt0102782/credits/
tt0102798,1991,"When Robin and his Moorish companion come to England and the tyranny of the Sheriff of Nottingham, he decides to fight back as an outlaw.",,June 14,2 hr 23 min,48000000,https://www.boxofficemojo.com/title/tt0102798/credits/
tt0102803,1991,A young pilot stumbles onto a prototype jetpack that allows him to become a high-flying masked hero.,,June 21,1 hr 48 min,35000000,https://www.boxofficemojo.com/title/tt0102803/credits/
tt0102818,1991,"When a law student accidentally kills the son of a mob boss in a fight, he finds himself relentlessly pursued by the mob and the police.",,February 1,1 hr 31 min,16000000,https://www.boxofficemojo.com/title/tt0102818/credits/
tt0102849,1991,"On their 16th anniversary, a married couple's trip to a Beverly Hills mall becomes the stage for personal revelations and deceptions.",,February 22,1 hr 29 min,3000000,https://www.boxofficemojo.com/title/tt0102849/credits/
tt0102898,1991,The all-clown town of Palukaville provides a colorful backdrop for this tale of an alcoholic funny-man framed for murder.,R,March 13,1 hr 27 min,1400000,https://www.boxofficemojo.com/title/tt0102898/credits/
tt0102926,1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",,February 14,1 hr 58 min,19000000,https://www.boxofficemojo.com/title/tt0102926/credits/
tt0102943,1990,"A day in the life of Austin, Texas as the camera roams from place to place and provides a brief look at the overeducated, the social misfits, the outcasts and the oddballs.",R,July 5,1 hr 37 min,23000,https://www.boxofficemojo.com/title/tt0102943/credits/
tt0102945,1991,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.",R,February 8,1 hr 39 min,19000000,https://www.boxofficemojo.com/title/tt0102945/credits/
tt0103007,1991,Karma comes into play when a wealthy wisecracking landlord is ordered by a court to live in the filthy building that he runs.,R,October 4,1 hr 24 min,22000000,https://www.boxofficemojo.com/title/tt0103007/credits/
tt0103060,1991,"The Turtles and the Shredder battle once again, this time for the last canister of the ooze that created the Turtles, with which Shredder wants to unleash an army of new mutants.",,March 22,1 hr 28 min,25000000,https://www.boxofficemojo.com/title/tt0103060/credits/
tt0103064,1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",R,July 3,2 hr 17 min,102000000,https://www.boxofficemojo.com/title/tt0103064/credits/
tt0103074,1991,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed.",R,May 24,2 hr 10 min,16500000,https://www.boxofficemojo.com/title/tt0103074/credits/
tt0103128,1991,"In order to escape from the mob, an African-American man must disguise himself as a white man.",R,August 23,1 hr 33 min,15000000,https://www.boxofficemojo.com/title/tt0103128/credits/
tt0103247,1991,Jack London's classic adventure story about the friendship developed between a Yukon gold hunter and the mixed dog-wolf he rescues from the hands of a man who mistreats him.,,January 18,1 hr 47 min,14000000,https://www.boxofficemojo.com/title/tt0103247/credits/
tt0103594,1992,Christopher Columbus' discovery of the Americas and the effect this has on the indigenous people.,PG-13,October 9,2 hr 34 min,47000000,https://www.boxofficemojo.com/title/tt0103594/credits/
tt0103639,1992,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,,November 13,1 hr 30 min,28000000,https://www.boxofficemojo.com/title/tt0103639/credits/
tt0103644,1992,"After her last encounter, Ellen Ripley crash-lands on Fiorina 161, a maximum security prison. When a series of strange and deadly events occur shortly after her arrival, Ripley realizes that she has brought along an unwelcome visitor.",R,May 22,1 hr 54 min,50000000,https://www.boxofficemojo.com/title/tt0103644/credits/
tt0103772,1992,A violent police detective investigates a brutal murder that might involve a manipulative and seductive novelist.,R,March 20,2 hr 7 min,49000000,https://www.boxofficemojo.com/title/tt0103772/credits/
tt0103776,1992,Batman returns to the big screen when a deformed man calling himself the Penguin wreaks havoc across Gotham with the help of a cruel businessman.,PG-13,June 19,2 hr 6 min,80000000,https://www.boxofficemojo.com/title/tt0103776/credits/
tt0103859,1992,A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.,R,July 1,1 hr 57 min,42000000,https://www.boxofficemojo.com/title/tt0103859/credits/
tt0103874,1992,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,R,November 13,2 hr 8 min,40000000,https://www.boxofficemojo.com/title/tt0103874/credits/
tt0103962,1992,Genoese navigator overcomes intrigue in the court of King Ferdinand and Queen Isabella of Spain and gains financing for his expedition to the East Indies.,PG-13,August 21,2 hr,40000000,https://www.boxofficemojo.com/title/tt0103962/credits/
tt0104070,1992,"When a woman learns of an immortality treatment, she sees it as a way to outdo her long-time rival.",PG-13,July 31,1 hr 44 min,55000000,https://www.boxofficemojo.com/title/tt0104070/credits/
tt0104231,1992,"A young Irish couple flee to the States, but subsequently struggle to obtain land and prosper freely.",PG-13,May 22,2 hr 20 min,60000000,https://www.boxofficemojo.com/title/tt0104231/credits/
tt0104257,1992,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,R,December 11,2 hr 18 min,41000000,https://www.boxofficemojo.com/title/tt0104257/credits/
tt0104438,1992,"Jack loses $65000 in poker in Las Vegas, where he's marrying Betsy. The wedding'll have to wait as the poker winner wants the weekend with Betsy to cancel the debt. She accepts. Whom will she marry?",PG-13,August 28,1 hr 36 min,25000000,https://www.boxofficemojo.com/title/tt0104438/credits/
tt0104691,1992,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,R,September 25,1 hr 52 min,40000000,https://www.boxofficemojo.com/title/tt0104691/credits/
tt0104692,1992,A simple man is turned into a genius through the application of computer science.,R,March 6,1 hr 48 min,10000000,https://www.boxofficemojo.com/title/tt0104692/credits/
tt0104694,1992,Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,PG,July 1,2 hr 8 min,40000000,https://www.boxofficemojo.com/title/tt0104694/credits/
tt0104714,1992,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,R,May 15,1 hr 58 min,35000000,https://www.boxofficemojo.com/title/tt0104714/credits/
tt0104839,1992,"In the beautiful and dangerous Amazon rainforest, dissimilar people must make their choices between business, science, and love.",,February 7,1 hr 46 min,40000000,https://www.boxofficemojo.com/title/tt0104839/credits/
tt0104868,1992,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,PG,October 2,1 hr 44 min,10000000,https://www.boxofficemojo.com/title/tt0104868/credits/
tt0104940,1992,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,,December 11,1 hr 25 min,12000000,https://www.boxofficemojo.com/title/tt0104940/credits/
tt0104990,1992,A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.,PG,April 10,2 hr 1 min,15000000,https://www.boxofficemojo.com/title/tt0104990/credits/
tt0105112,1992,"When CIA analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets him and his family for revenge.",R,June 5,1 hr 57 min,45000000,https://www.boxofficemojo.com/title/tt0105112/credits/
tt0105121,1991,"Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives.",R,November 1,1 hr 42 min,6000000,https://www.boxofficemojo.com/title/tt0105121/credits/
tt0105130,1992,"Six former college friends, with two new friends, gather for a New Year's Eve weekend reunion at a large English countryside manor after ten years to reminisce about the good times now long gone.",R,December 25,1 hr 41 min,5000000,https://www.boxofficemojo.com/title/tt0105130/credits/
tt0105226,1993,"Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.",R,January 28,1 hr 38 min,8000000,https://www.boxofficemojo.com/title/tt0105226/credits/
tt0105236,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",R,October 23,1 hr 39 min,1200000,https://www.boxofficemojo.com/title/tt0105236/credits/
tt0105378,1991,"With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer.",,March 20,1 hr 25 min,14000000,https://www.boxofficemojo.com/title/tt0105378/credits/
tt0105399,1992,"Identical twins are separated at birth, one becoming a streetwise mechanic, and the other an acclaimed classical concert conductor. Finally meeting in adulthood, they each become mistaken for the other and entangled in each other's world.",PG-13,April 9,1 hr 44 min,10000000,https://www.boxofficemojo.com/title/tt0105399/credits/
tt0105793,1992,Two slacker friends try to promote their public-access cable show.,PG-13,February 14,1 hr 34 min,20000000,https://www.boxofficemojo.com/title/tt0105793/credits/
tt0106226,1993,"A tale of nineteenth-century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",PG,September 17,2 hr 19 min,34000000,https://www.boxofficemojo.com/title/tt0106226/credits/
tt0106264,1993,"Three bored Long Island buddies seek excitement on the streets, with perilous results.",R,July 23,1 hr 26 min,1000000,https://www.boxofficemojo.com/title/tt0106264/credits/
tt0106379,1994,One man must learn the meaning of courage across four lifetimes centuries apart.,PG-13,May 6,2 hr 2 min,40000000,https://www.boxofficemojo.com/title/tt0106379/credits/
tt0106453,1992,A lawyer defends a woman accused of killing her older lover by having sex with him.,R,January 15,1 hr 39 min,30000000,https://www.boxofficemojo.com/title/tt0106453/credits/
tt0106519,1993,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",R,November 12,2 hr 24 min,30000000,https://www.boxofficemojo.com/title/tt0106519/credits/
tt0106582,1993,A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,R,May 28,1 hr 53 min,70000000,https://www.boxofficemojo.com/title/tt0106582/credits/
tt0106611,1993,"When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.",PG,October 1,1 hr 38 min,14000000,https://www.boxofficemojo.com/title/tt0106611/credits/
tt0106941,1993,"Doug's a concierge at a luxury hotel on Manhattan. He saves all his tips towards his plan for a hotel. A potential investor seduces the girl, Doug loves, with false promises of leaving his wife. Doug's dilemma: hotel project or girl?",,October 1,1 hr 36 min,30000000,https://www.boxofficemojo.com/title/tt0106941/credits/
tt0106950,1992,"In a future, private underground prison/Fortress, the inmates are computer controlled with CCTV, dream readers and devices that can cause pain or death. John and his illegally pregnant wife are inside but want to escape before birth.",R,September 3,1 hr 35 min,8000000,https://www.boxofficemojo.com/title/tt0106950/credits/
tt0107004,1993,The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.,PG-13,December 10,1 hr 55 min,35000000,https://www.boxofficemojo.com/title/tt0107004/credits/
tt0107096,1993,"During the Vietnam War, a Vietnamese woman struggles hustling on the streets, where she comes face to face with those involved in the conflict around her.",R,December 25,2 hr 20 min,33000000,https://www.boxofficemojo.com/title/tt0107096/credits/
tt0107151,1993,"A rancher, his clairvoyant wife and their family face turbulent years in South America in this adaptation of Isabel Allende's best-seller.",R,April 1,2 hr 20 min,40000000,https://www.boxofficemojo.com/title/tt0107151/credits/
tt0107156,1993,"To satisfy his nagging parents, a gay landlord and a female tenant agree to a marriage of convenience, but his parents arrive to visit and things get out of hand.",R,August 6,1 hr 46 min,1000000,https://www.boxofficemojo.com/title/tt0107156/credits/
tt0107206,1993,Secret Service agent Frank Horrigan ,R,July 9,2 hr 8 min,40000000,https://www.boxofficemojo.com/title/tt0107206/credits/
tt0107290,1993,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,PG-13,June 11,2 hr 7 min,63000000,https://www.boxofficemojo.com/title/tt0107290/credits/
tt0107362,1993,"With the help of a magic ticket, a young movie fan is transported into the fictional world of his favorite action movie character.",PG-13,June 18,2 hr 10 min,85000000,https://www.boxofficemojo.com/title/tt0107362/credits/
tt0107614,1993,"After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.",PG-13,November 24,2 hr 5 min,25000000,https://www.boxofficemojo.com/title/tt0107614/credits/
tt0107616,1993,"Young lovers Hero Kate Beckinsale and Claudio Robert Sean Leonard, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick Sir Kenneth Branagh and Beatrice Dame Emma Thompson to wed as well.",PG-13,May 7,1 hr 51 min,11000000,https://www.boxofficemojo.com/title/tt0107616/credits/
tt0107719,1993,"On Christmas Eve, a little girl named Marie Cohen falls asleep after a party at her home and dreams herself or does she? into a fantastic world where toys become larger than life. Her beloved Nutcracker Culkin comes to life and defends her from the Mouse King, then is turned into a Prince after Marie saves his life.",,November 24,1 hr 32 min,19000000,https://www.boxofficemojo.com/title/tt0107719/credits/
tt0107818,1993,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",PG-13,December 24,2 hr 5 min,26000000,https://www.boxofficemojo.com/title/tt0107818/credits/
tt0107978,1993,"Robocop saves the day once more. This time the half man/half robot takes on ruthless developers who want to evict some people on ""their"" land.",PG-13,November 5,1 hr 44 min,22000000,https://www.boxofficemojo.com/title/tt0107978/credits/
tt0108052,1993,"In German-occupied Poland during World War II, industrialist",R,December 15,3 hr 15 min,22000000,https://www.boxofficemojo.com/title/tt0108052/credits/
tt0108101,1993,C.S. Lewis,PG,December 31,2 hr 11 min,22000000,https://www.boxofficemojo.com/title/tt0108101/credits/
tt0108148,1993,A martial artist/doctor steals from the corrupt authorities as a masked thief to give to the poor while another martial artist/doctor is forced to hunt him down. But a major threat unites them as a powerful and traitorous shaolin monk takes over the authorities.,PG-13,October 12,1 hr 30 min,11000000,https://www.boxofficemojo.com/title/tt0108148/credits/
tt0108160,1993,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.,PG,June 25,1 hr 45 min,21000000,https://www.boxofficemojo.com/title/tt0108160/credits/
tt0108255,1993,"Two Brooklyn plumbers, Mario and Luigi, must travel to another dimension to rescue a princess from the evil dictator King Koopa and stop him from taking over the world.",PG,May 28,1 hr 44 min,48000000,https://www.boxofficemojo.com/title/tt0108255/credits/
tt0108308,1993,The turtles find themselves transported back in time to ancient Japan.,PG,March 19,1 hr 36 min,21000000,https://www.boxofficemojo.com/title/tt0108308/credits/
tt0108327,1993,A group of newcomers to the country music business seek love and stardom.,PG-13,August 27,1 hr 56 min,14000000,https://www.boxofficemojo.com/title/tt0108327/credits/
tt0108525,1993,The inseparable duo try to organize a rock concert while Wayne must fend off a record producer who has an eye for his girlfriend.,PG-13,December 10,1 hr 35 min,40000000,https://www.boxofficemojo.com/title/tt0108525/credits/
tt0109040,1994,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,PG-13,February 4,1 hr 26 min,15000000,https://www.boxofficemojo.com/title/tt0109040/credits/
tt0109190,1994,"After three kidnappers lose the baby they have kidnapped, both the cops and kidnappers go looking for the baby.",PG,July 1,1 hr 39 min,48000000,https://www.boxofficemojo.com/title/tt0109190/credits/
tt0109254,1994,"Axel Foley, while investigating a car theft ring, comes across something much bigger than that: the same men who killed his boss are running a counterfeit money ring out of a theme park in Los Angeles.",R,May 25,1 hr 44 min,50000000,https://www.boxofficemojo.com/title/tt0109254/credits/
tt0109370,1995,"The U.S. President, low in the opinion polls, gets talked into raising his popularity by trying to start a cold war against Canada.",PG,September 22,1 hr 31 min,11000000,https://www.boxofficemojo.com/title/tt0109370/credits/
tt0109444,1994,CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,PG-13,August 5,2 hr 21 min,62000000,https://www.boxofficemojo.com/title/tt0109444/credits/
tt0109445,1994,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",R,October 19,1 hr 32 min,27000,https://www.boxofficemojo.com/title/tt0109445/credits/
tt0109456,1994,"A color-blind psychiatrist Bill Capa is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that Capa begins having intense sexual encounters with.",R,August 19,2 hr 1 min,40000000,https://www.boxofficemojo.com/title/tt0109456/credits/
tt0109579,1994,A political activist is convinced that her guest is a man who once tortured her for the government.,R,December 23,1 hr 43 min,12000000,https://www.boxofficemojo.com/title/tt0109579/credits/
tt0109635,1994,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",R,December 9,2 hr 8 min,55000000,https://www.boxofficemojo.com/title/tt0109635/credits/
tt0109676,1994,A tough cop teams up with a professional skydiver to capture a renegade computer hacker on the run from the law.,R,December 9,1 hr 41 min,45000000,https://www.boxofficemojo.com/title/tt0109676/credits/
tt0109686,1994,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen, to return the briefcase to its owner.",,December 16,1 hr 47 min,17000000,https://www.boxofficemojo.com/title/tt0109686/credits/
tt0109707,1994,Ambitious but troubled movie director,R,September 30,2 hr 7 min,18000000,https://www.boxofficemojo.com/title/tt0109707/credits/
tt0109813,1994,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.",PG,May 27,1 hr 31 min,46000000,https://www.boxofficemojo.com/title/tt0109813/credits/
